Sentence #,Sentence,POS,Tag
Sentence: 7708,The 58-year-old former analyst says he provided information to an official at the Israeli embassy and to two members of a lobbying group called the American Israel Public Affairs Committee .,"['DT', 'JJ', 'JJ', 'NN', 'VBZ', 'PRP', 'VBD', 'NN', 'TO', 'DT', 'NN', 'IN', 'DT', 'JJ', 'NN', 'CC', 'TO', 'CD', 'NNS', 'IN', 'DT', 'NN', 'NN', 'VBD', 'DT', 'NNP', 'NNP', 'NNP', 'NNP', 'NNP', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-gpe', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-geo', 'B-org', 'I-org', 'I-org', 'O']"
Sentence: 26090,But he said he will not accept any Pakistani proposal that involves redrawing the line of control that separates Indian- from Pakistani-controlled Kashmir .,"['CC', 'PRP', 'VBD', 'PRP', 'MD', 'RB', 'VB', 'DT', 'JJ', 'NN', 'WDT', 'VBZ', 'VBG', 'DT', 'NN', 'IN', 'NN', 'IN', 'VBZ', 'NNP', 'IN', 'JJ', 'NNP', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-gpe', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-geo', 'O', 'B-geo', 'I-geo', 'O']"
Sentence: 309,The Swiss star was upset Wednesday by German Tommy Haas in the opening match of the Kooyong Classic in Melbourne .,"['DT', 'JJ', 'NN', 'VBD', 'VBN', 'NNP', 'IN', 'JJ', 'NNP', 'NNP', 'IN', 'DT', 'NN', 'NN', 'IN', 'DT', 'NNP', 'NNP', 'IN', 'NNP', '.']","['O', 'B-gpe', 'O', 'O', 'O', 'B-tim', 'O', 'B-gpe', 'B-per', 'I-per', 'O', 'O', 'O', 'O', 'O', 'O', 'B-eve', 'I-eve', 'O', 'B-geo', 'O']"
Sentence: 24976,"After taking office in 2004 , the SPENCER government adopted an ambitious fiscal reform program , and was successful in reducing its public debt-to-GDP ratio from 120 % to about 90 % in 2008 .","['IN', 'VBG', 'NN', 'IN', 'CD', ',', 'DT', 'NNP', 'NN', 'VBD', 'DT', 'JJ', 'JJ', 'NN', 'NN', ',', 'CC', 'VBD', 'JJ', 'IN', 'VBG', 'PRP$', 'JJ', 'NN', 'NN', 'IN', 'CD', 'NN', 'TO', 'RB', 'CD', 'NN', 'IN', 'CD', '.']","['O', 'O', 'O', 'O', 'B-tim', 'O', 'O', 'B-org', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-tim', 'O']"
Sentence: 472,Israeli soldiers have killed two Palestinians in the southern Gaza Strip .,"['JJ', 'NNS', 'VBP', 'VBN', 'CD', 'NNS', 'IN', 'DT', 'JJ', 'NNP', 'NNP', '.']","['B-gpe', 'O', 'O', 'O', 'O', 'B-gpe', 'O', 'O', 'O', 'B-geo', 'I-geo', 'O']"
Sentence: 39981,"A strong earthquake has struck off the coast of Indonesia , but no tsunami alert was issued .","['DT', 'JJ', 'NN', 'VBZ', 'VBN', 'RP', 'DT', 'NN', 'IN', 'NNP', ',', 'CC', 'DT', 'NN', 'NN', 'VBD', 'VBN', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-geo', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
Sentence: 22894,The 71-year-old underwent surgery for pancreatic cancer last year .,"['DT', 'JJ', 'VBD', 'NN', 'IN', 'NN', 'NN', 'JJ', 'NN', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
Sentence: 29627,Polish President Lech Kaczynski has called the roof collapse at an exhibition hall the worst tragedy to strike post-communist Poland .,"['JJ', 'NNP', 'NNP', 'NNP', 'VBZ', 'VBN', 'DT', 'NN', 'NN', 'IN', 'DT', 'NN', 'NN', 'DT', 'JJS', 'NN', 'TO', 'VB', 'JJ', 'NNP', '.']","['B-gpe', 'B-per', 'I-per', 'I-per', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-geo', 'O']"
Sentence: 41408,"Meanwhile , gunmen today killed the director-general of Iraq 's Trade Ministry , Ali Mousa Salman , as he was driving to work in Baghdad .","['RB', ',', 'NNS', 'NN', 'VBD', 'DT', 'NN', 'IN', 'NNP', 'POS', 'NNP', 'NNP', ',', 'NNP', 'NNP', 'NNP', ',', 'IN', 'PRP', 'VBD', 'VBG', 'IN', 'NN', 'IN', 'NNP', '.']","['O', 'O', 'O', 'B-tim', 'O', 'O', 'O', 'O', 'B-geo', 'O', 'B-org', 'I-org', 'O', 'B-per', 'I-per', 'I-per', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-geo', 'O']"
Sentence: 17137,"A short while later , the prime minister fired the renegade Shinui ministers , leaving the Likud coalition in control of only 40 votes in the 120-seat Knesset .","['DT', 'JJ', 'NN', 'RB', ',', 'DT', 'JJ', 'NN', 'VBD', 'DT', 'NN', 'NNP', 'NNS', ',', 'VBG', 'DT', 'NNP', 'NN', 'IN', 'NN', 'IN', 'RB', 'CD', 'NNS', 'IN', 'DT', 'JJ', 'NNP', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-geo', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
